1GAT[0] PRI_INPUT (6254,4680)
18GAT[1] PRI_INPUT (6254,4056)
35GAT[2] PRI_INPUT (6254,936)
52GAT[3] PRI_INPUT (4680,0)
69GAT[4] PRI_INPUT (390,0)
86GAT[5] PRI_INPUT (6254,1560)
103GAT[6] PRI_INPUT (2730,0)
120GAT[7] PRI_INPUT (6254,0)
137GAT[8] PRI_INPUT (5850,0)
154GAT[9] PRI_INPUT (6254,2184)
171GAT[10] PRI_INPUT (6254,3432)
188GAT[11] PRI_INPUT (3120,0)
205GAT[12] PRI_INPUT (0,0)
222GAT[13] PRI_INPUT (5460,0)
239GAT[14] PRI_INPUT (6254,2808)
256GAT[15] PRI_INPUT (1170,0)
273GAT[16] PRI_INPUT (5070,0)
290GAT[17] PRI_INPUT (4290,0)
307GAT[18] PRI_INPUT (3900,0)
324GAT[19] PRI_INPUT (1560,0)
341GAT[20] PRI_INPUT (3510,0)
358GAT[21] PRI_INPUT (6254,624)
375GAT[22] PRI_INPUT (6254,3120)
392GAT[23] PRI_INPUT (6254,1872)
409GAT[24] PRI_INPUT (6254,1248)
426GAT[25] PRI_INPUT (6254,312)
443GAT[26] PRI_INPUT (6254,3744)
460GAT[27] PRI_INPUT (6254,4368)
477GAT[28] PRI_INPUT (1950,0)
494GAT[29] PRI_INPUT (2340,0)
511GAT[30] PRI_INPUT (780,0)
528GAT[31] PRI_INPUT (6254,2496)
n65 nota0 (5861,4600)~0ns  Buffer_1GAT[0]_0_n65{236}~8.023e-10ns 
n66 nota0 (5499,300)~0ns  Buffer_273GAT[16]_0_n66{364}~1.02017e-09ns 
545GAT[287] no2a0 (4044,3600)~1.50553e-09ns  Buffer_n66_10_545GAT[287]{396}~1.07364e-09ns  Buffer_n65_6_545GAT[287]{352}~1.00001e-09ns 
n68 nota0 (4847,4200)~0ns  Buffer_18GAT[1]_2_n68{387}~1.05864e-09ns 
n69 no2a0 (3953,3600)~1.50553e-09ns  Buffer_n66_11_n69{372}~1.03357e-09ns  Buffer_n68_2_n69{373}~1.03525e-09ns 
n70 nota0 (5154,600)~0ns  Buffer_290GAT[17]_2_n70{366}~1.02352e-09ns 
n71 no2a0 (3810,3400)~1.50553e-09ns  Buffer_n70_9_n71{376}~1.04027e-09ns  Buffer_n65_7_n71{361}~1.01513e-09ns 
n72 nota0 (3901,3400)~0ns  n71{91}~5.51122e-10ns 
n73 na2a0 (3862,3600)~1.50553e-09ns  n72{239}~8.0747e-10ns  n69{91}~5.51122e-10ns 
n74 nota0 (3901,3500)~0ns  n69{152}~6.56818e-10ns 
n75 na2a0 (3810,3500)~1.50553e-09ns  n71{100}~5.66668e-10ns  n74{91}~5.51122e-10ns 
1581GAT[423] na2a0 (3771,3600)~1.50553e-09ns  n75{139}~6.3425e-10ns  n73{91}~5.51122e-10ns 
n77 nota0 (3847,1300)~0ns  Buffer_307GAT[18]_2_n77{338}~9.76413e-10ns 
n78 no2a0 (3810,3300)~1.50553e-09ns  Buffer_n77_4_n78{339}~9.78101e-10ns  Buffer_n65_7_n78{372}~1.03357e-09ns 
n79 nota0 (3901,3300)~0ns  n78{91}~5.51122e-10ns 
n80 na2a0 (4824,3500)~1.50553e-09ns  Buffer_290GAT[17]_9_n80{366}~1.02352e-09ns  Buffer_18GAT[1]_3_n80{397}~1.0753e-09ns 
n81 nota0 (4174,3400)~0ns  Buffer_n80_0_n81{375}~1.03859e-09ns 
n82 na2a0 (3927,3500)~1.50553e-09ns  n81{347}~9.91589e-10ns  545GAT[287]{217}~7.69501e-10ns 
n83 nota0 (4834,3400)~0ns  Buffer_35GAT[2]_8_n83{388}~1.06031e-09ns 
n84 no2a0 (4278,3400)~1.50553e-09ns  Buffer_n66_9_n84{392}~1.06698e-09ns  Buffer_n83_0_n84{278}~8.74435e-10ns 
n85 na2a0 (4187,3400)~1.50553e-09ns  n84{91}~5.51122e-10ns  Buffer_n80_0_n85{368}~1.02687e-09ns 
n86 na2a0 (4498,3400)~1.50553e-09ns  Buffer_273GAT[16]_8_n86{397}~1.0753e-09ns  Buffer_35GAT[2]_9_n86{383}~1.05196e-09ns 
n87 na2a0 (4083,3400)~1.50553e-09ns  Buffer_n86_0_n87{207}~7.52205e-10ns  n81{91}~5.51122e-10ns 
n88 na3a0 (3914,3400)~2.42708e-09ns  n87{169}~6.8633e-10ns  n85{273}~8.65878e-10ns  n82{113}~5.89164e-10ns 
n89 na3a0 (4018,3500)~2.42708e-09ns  Buffer_n86_0_n89{290}~8.94938e-10ns  n81{256}~8.36719e-10ns  545GAT[287]{126}~6.11695e-10ns 
n90 na3a0 (3914,3300)~2.42708e-09ns  n89{304}~9.18793e-10ns  n88{100}~5.66668e-10ns  n79{13}~4.18116e-10ns 
n91 na2a0 (3992,3200)~1.50553e-09ns  n89{326}~9.56128e-10ns  n88{278}~8.74435e-10ns 
n92 na2a0 (3901,3200)~1.50553e-09ns  n91{91}~5.51122e-10ns  n78{191}~7.24492e-10ns 
1901GAT[561] na2a0 (3810,3200)~1.50553e-09ns  n92{91}~5.51122e-10ns  n90{204}~7.47013e-10ns 
n94 nota0 (2730,100)~0ns  Buffer_324GAT[19]_2_n94{317}~9.40877e-10ns 
n95 no2a0 (5653,4700)~1.50553e-09ns  Buffer_n94_17_n95{395}~1.07197e-09ns  n65{308}~9.25595e-10ns 
n96 nota0 (5835,4700)~0ns  n95{182}~7.08887e-10ns 
n97 na2a0 (4083,3300)~1.50553e-09ns  n90{169}~6.8633e-10ns  n88{269}~8.59025e-10ns 
n98 na2a0 (5965,3600)~1.50553e-09ns  Buffer_307GAT[18]_13_n98{377}~1.04194e-09ns  Buffer_18GAT[1]_0_n98{372}~1.03357e-09ns 
n99 no2a0 (5627,3400)~1.50553e-09ns  Buffer_n70_7_n99{363}~1.01849e-09ns  Buffer_n83_0_n99{396}~1.07364e-09ns 
n100 na2a0 (5913,3500)~1.50553e-09ns  n99{386}~1.05697e-09ns  Buffer_n69_4_n100{343}~9.84848e-10ns 
n101 na2a0 (5861,3100)~1.50553e-09ns  Buffer_290GAT[17]_10_n101{389}~1.06198e-09ns  Buffer_35GAT[2]_5_n101{365}~1.02184e-09ns 
n102 nota0 (4847,3400)~0ns  Buffer_52GAT[3]_7_n102{396}~1.07364e-09ns 
n103 no2a0 (5668,3100)~1.50553e-09ns  Buffer_n66_6_n103{371}~1.0319e-09ns  Buffer_n102_1_n103{373}~1.03525e-09ns 
n104 na2a0 (5965,3100)~1.50553e-09ns  n103{297}~9.06875e-10ns  n101{104}~5.73585e-10ns 
n105 na2a0 (5809,3400)~1.50553e-09ns  Buffer_273GAT[16]_9_n105{376}~1.04027e-09ns  Buffer_52GAT[3]_10_n105{377}~1.04194e-09ns 
n106 na2a0 (5991,3400)~1.50553e-09ns  n105{182}~7.08887e-10ns  n99{364}~1.02017e-09ns 
n107 na3a0 (6004,3500)~2.42708e-09ns  n106{113}~5.89164e-10ns  Buffer_n104_0_n107{219}~7.72958e-10ns  n100{91}~5.51122e-10ns 
n108 na3a0 (5744,3500)~2.42708e-09ns  n105{165}~6.79387e-10ns  n99{217}~7.69501e-10ns  Buffer_n69_3_n108{378}~1.04361e-09ns 
n109 na3a0 (5900,4100)~2.42708e-09ns  Buffer_n108_0_n109{378}~1.04361e-09ns  Buffer_n107_0_n109{352}~1.00001e-09ns  Buffer_n98_0_n109{282}~8.81275e-10ns 
n110 nota0 (6029,4400)~0ns  Buffer_n98_1_n110{288}~8.91525e-10ns 
n111 na2a0 (6043,4200)~1.50553e-09ns  Buffer_n108_1_n111{333}~9.67968e-10ns  Buffer_n107_0_n111{369}~1.02855e-09ns 
n112 na2a0 (6004,4300)~1.50553e-09ns  n111{139}~6.3425e-10ns  n110{125}~6.09961e-10ns 
n113 na3a0 (5756,4400)~2.42708e-09ns  n112{348}~9.93273e-10ns  Buffer_n109_0_n113{222}~7.78141e-10ns  Buffer_n97_5_n113{396}~1.07364e-09ns 
n114 nota0 (5925,4400)~0ns  Buffer_n97_6_n114{367}~1.0252e-09ns 
n115 na2a0 (5938,4400)~1.50553e-09ns  n112{166}~6.81122e-10ns  n109{338}~9.76413e-10ns 
n116 na2a0 (5887,4500)~1.50553e-09ns  n115{151}~6.55081e-10ns  n114{138}~6.32515e-10ns 
n117 na3a0 (5848,4700)~2.42708e-09ns  n116{239}~8.0747e-10ns  n113{392}~1.06698e-09ns  n96{13}~4.18116e-10ns 
n118 na2a0 (5874,4600)~1.50553e-09ns  n116{113}~5.89164e-10ns  n113{318}~9.42573e-10ns 
n119 na2a0 (5744,4700)~1.50553e-09ns  n118{230}~7.91952e-10ns  n95{91}~5.51122e-10ns 
2223GAT[700] na2a0 (5796,4800)~1.50553e-09ns  n119{152}~6.56818e-10ns  n117{152}~6.56818e-10ns 
n121 nota0 (3504,100)~0ns  341GAT[20]{106}~3.59365e-10ns 
n122 no2a0 (5497,4600)~1.50553e-09ns  Buffer_n121_15_n122{381}~1.04862e-09ns  n65{364}~1.02017e-09ns 
n123 nota0 (5484,4600)~0ns  n122{13}~4.18116e-10ns 
n124 na2a0 (5887,4800)~1.50553e-09ns  n117{139}~6.3425e-10ns  Buffer_n113_0_n124{265}~8.52167e-10ns 
n125 no2a0 (5562,4700)~1.50553e-09ns  Buffer_n94_17_n125{391}~1.06531e-09ns  Buffer_n68_2_n125{303}~9.17091e-10ns 
n126 nota0 (5705,4500)~0ns  n125{343}~9.84848e-10ns 
n127 na2a0 (5952,4200)~1.50553e-09ns  n109{152}~6.56818e-10ns  Buffer_n107_0_n127{376}~1.04027e-09ns 
n128 na2a0 (5965,3000)~1.50553e-09ns  Buffer_307GAT[18]_11_n128{389}~1.06198e-09ns  Buffer_35GAT[2]_4_n128{392}~1.06698e-09ns 
n129 no2a0 (5759,3100)~1.50553e-09ns  Buffer_n70_6_n129{388}~1.06031e-09ns  Buffer_n102_2_n129{303}~9.17091e-10ns 
n130 na2a0 (5700,3300)~1.50553e-09ns  n129{259}~8.41871e-10ns  Buffer_n84_2_n130{380}~1.04695e-09ns 
n131 na2a0 (5692,3000)~1.50553e-09ns  Buffer_290GAT[17]_10_n131{366}~1.02352e-09ns  Buffer_52GAT[3]_9_n131{364}~1.02017e-09ns 
n132 nota0 (2250,2700)~0ns  Buffer_69GAT[4]_10_n132{380}~1.04695e-09ns 
n133 no2a0 (5676,2900)~1.50553e-09ns  Buffer_n66_5_n133{396}~1.07364e-09ns  Buffer_n132_8_n133{362}~1.01681e-09ns 
